strain,stress
0.0000000000,-144090.329578
0.0000408163,2684239.256811
0.0000816327,5602969.852718
0.0001224490,9273412.296527
0.0001632653,11300983.144789
0.0002040816,12788360.871373
0.0002448980,17475175.486925
0.0002857143,19732662.521503
0.0003265306,22640184.172998
0.0003673469,25830170.500987
0.0004081633,28803726.308335
0.0004489796,32592130.115171
0.0004897959,34942350.792513
0.0005306122,37253364.320301
0.0005714286,39261678.397655
0.0006122449,41842480.489655
0.0006530612,45960627.909497
0.0006938776,49882509.398633
0.0007346939,51470228.292475
0.0007755102,54179390.991944
0.0008163265,57674633.363258
0.0008571429,58546454.701991
0.0008979592,62544865.539998
0.0009387755,66204648.246879
0.0009795918,69444832.956808
0.0010204082,71187941.755916
0.0010612245,74662314.144402
0.0011020408,77391070.592186
0.0011428571,80782326.808704
0.0011836735,81743920.642895
0.0012244898,86282536.401871
0.0012653061,87056908.179703
0.0013061224,88808626.006353
0.0013469388,93678823.557515
0.0013877551,96227047.096511
0.0014285714,100876012.243056
0.0014693878,103521408.756756
0.0015102041,104495210.972990
0.0015510204,109418789.994777
0.0015918367,110426368.604329
0.0016326531,114199470.439378
0.0016734694,116848957.364901
0.0017142857,120114419.857461
0.0017551020,123675779.168687
0.0017959184,126352699.505078
0.0018367347,128921313.673298
0.0018775510,132078519.526378
0.0019183673,134764206.323364
0.0019591837,136515871.677638
0.0020000000,139282628.906183
