strain,stress
0.0000000000,-288180.659156
0.0000408163,4307254.023827
0.0000816327,9083490.725844
0.0001224490,15363151.123667
0.0001632653,18357068.330393
0.0002040816,20270599.293767
0.0002448980,28583004.035074
0.0002857143,32036753.614434
0.0003265306,36790572.427628
0.0003673469,42109320.593810
0.0004081633,46995207.718711
0.0004489796,53510790.842586
0.0004897959,57150007.707475
0.0005306122,60710810.273255
0.0005714286,63666213.938168
0.0006122449,67766593.632372
0.0006530612,74941663.982259
0.0006938776,81724202.470735
0.0007346939,83838415.768623
0.0007755102,88195516.677765
0.0008163265,94124776.930598
0.0008571429,94807195.118268
0.0008979592,101742792.304486
0.0009387755,108001133.228452
0.0009795918,113420278.158514
0.0010204082,115845271.266935
0.0010612245,121732791.554111
0.0011020408,126129079.959881
0.0011428571,131850367.903122
0.0011836735,132712331.081708
0.0012244898,140728338.109865
0.0012653061,141215857.175733
0.0013061224,143658068.339236
0.0013469388,152337238.951764
0.0013877551,156372461.539961
0.0014285714,164609167.343256
0.0014693878,168838735.880858
0.0015102041,169725115.823531
0.0015510204,178511049.377308
0.0015918367,179464982.106617
0.0016326531,185949961.286919
0.0016734694,190187710.648169
0.0017142857,195657411.143493
0.0017551020,201718905.276149
0.0017959184,206011521.459136
0.0018367347,210087525.305779
0.0018775510,215340712.522143
0.0019183673,219650861.626321
0.0019591837,222092967.845071
0.0020000000,226565257.812367
