y_true,y_pred
-5.000000,-5.021614
-4.949749,-4.975684
-4.899497,-4.916195
-4.849246,-4.743949
-4.798995,-4.818133
-4.748744,-4.973347
-4.698492,-4.648645
-4.648241,-4.688342
-4.597990,-4.630534
-4.547739,-4.530356
-4.497487,-4.462643
-4.447236,-4.272702
-4.396985,-4.298489
-4.346734,-4.330158
-4.296482,-4.407231
-4.246231,-4.398431
-4.195980,-4.159029
-4.145729,-3.949067
-4.095477,-4.089229
-4.045226,-4.061175
-3.994975,-3.915208
-3.944724,-4.162755
-3.894472,-3.941314
-3.844221,-3.770667
-3.793970,-3.662959
-3.743719,-3.779813
-3.693467,-3.636977
-3.643216,-3.605984
-3.592965,-3.475616
-3.542714,-3.709697
-3.492462,-3.407225
-3.442211,-3.669389
-3.391960,-3.784952
-3.341709,-3.432742
-3.291457,-3.428829
-3.241206,-3.109804
-3.190955,-3.091315
-3.140704,-3.323565
-3.090452,-2.963348
-3.040201,-3.190531
-2.989950,-3.002886
-2.939698,-2.983783
-2.889447,-2.872284
-2.839196,-2.716401
-2.788945,-2.693183
-2.738693,-2.686211
-2.688442,-2.590950
-2.638191,-2.566417
-2.587940,-2.681988
-2.537688,-2.645294
-2.487437,-2.557932
-2.437186,-2.362287
-2.386935,-2.424452
-2.336683,-1.986320
-2.286432,-2.409326
-2.236181,-2.401012
-2.185930,-2.070659
-2.135678,-1.922401
-2.085427,-2.009573
-2.035176,-1.909803
-1.984925,-1.770973
-1.934673,-1.948777
-1.884422,-2.097866
-1.834171,-1.913982
-1.783920,-1.640985
-1.733668,-1.950220
-1.683417,-1.678387
-1.633166,-1.595180
-1.582915,-1.630253
-1.532663,-1.424119
-1.482412,-1.395295
-1.432161,-1.083950
-1.381910,-1.288914
-1.331658,-1.423069
-1.281407,-1.365677
-1.231156,-1.355893
-1.180905,-1.038063
-1.130653,-1.215678
-1.080402,-1.090941
-1.030151,-0.917755
-0.979899,-1.088419
-0.929648,-0.973697
-0.879397,-1.155590
-0.829146,-0.991518
-0.778894,-0.864055
-0.728643,-0.666279
-0.678392,-0.499368
-0.628141,-0.630911
-0.577889,-0.538685
-0.527638,-0.502443
-0.477387,-0.314676
-0.427136,-0.293132
-0.376884,-0.335830
-0.326633,-0.478275
-0.276382,-0.140874
-0.226131,-0.168974
-0.175879,0.008162
-0.125628,-0.130114
-0.075377,0.217588
-0.025126,-0.078957
0.025126,0.264085
0.075377,0.092645
0.125628,0.048188
0.175879,0.006612
0.226131,0.203476
0.276382,0.489880
0.326633,0.449089
0.376884,0.480217
0.427136,0.070755
0.477387,0.584032
0.527638,0.611016
0.577889,0.495401
0.628141,0.534033
0.678392,0.678045
0.728643,0.987375
0.778894,0.620629
0.829146,0.764975
0.879397,1.083665
0.929648,0.862726
0.979899,0.925262
1.030151,1.044817
1.080402,0.894209
1.130653,1.163645
1.180905,0.999462
1.231156,1.363936
1.281407,1.281884
1.331658,1.674173
1.381910,1.424036
1.432161,1.637014
1.482412,1.286922
1.532663,1.514342
1.582915,1.631386
1.633166,1.895024
1.683417,1.431280
1.733668,1.882261
1.783920,1.872623
1.834171,2.064203
1.884422,1.991280
1.934673,1.942484
1.984925,1.906677
2.035176,1.847949
2.085427,2.114741
2.135678,2.106924
2.185930,2.488970
2.236181,2.144527
2.286432,2.334491
2.336683,2.101333
2.386935,2.327615
2.437186,2.476358
2.487437,2.611031
2.537688,2.754904
2.587940,2.581317
2.638191,2.470604
2.688442,2.757120
2.738693,2.816242
2.788945,2.862693
2.839196,2.734153
2.889447,3.059455
2.939698,2.952883
2.989950,3.094923
3.040201,3.231312
3.090452,3.181843
3.140704,3.183681
3.190955,3.513874
3.241206,3.277761
3.291457,3.247063
3.341709,3.358504
3.391960,3.614375
3.442211,3.460018
3.492462,3.570369
3.542714,3.722073
3.592965,3.516036
3.643216,3.384231
3.693467,3.738381
3.743719,3.778179
3.793970,3.702768
3.844221,3.974884
3.894472,3.985607
3.944724,3.795475
3.994975,4.072708
4.045226,4.015810
4.095477,3.873024
4.145729,4.213671
4.195980,4.189198
4.246231,4.134439
4.296482,4.374924
4.346734,4.419948
4.396985,4.310354
4.447236,4.507289
4.497487,4.649747
4.547739,4.440839
4.597990,4.655123
4.648241,4.648655
4.698492,5.038394
4.748744,4.469398
4.798995,4.903288
4.849246,4.803309
4.899497,4.884468
4.949749,5.234987
5.000000,4.998714
